Date,CPI
01/01/2013,47124753.54
01/02/2013,46870279.87
01/03/2013,46964020.43
01/04/2013,47358518.21
01/05/2013,47495857.91
01/06/2013,48194047.02
01/07/2013,48150672.38
01/08/2013,48603288.7
01/09/2013,49594795.79
01/10/2013,50333758.24
01/11/2013,50519993.15
01/12/2013,51419249.03
01/01/2014,52493911.33
01/02/2014,53696021.9
01/03/2014,54002089.23
01/04/2014,54185696.33
01/05/2014,53763047.9
01/06/2014,53929713.35
01/07/2014,54064537.63
01/08/2014,54383518.4
01/09/2014,54416148.51
01/10/2014,55368431.11
01/11/2014,54991925.78
01/12/2014,54749961.31
01/01/2015,54268161.65
01/02/2015,53573529.18
01/03/2015,54521780.65
01/04/2015,55345059.53
01/05/2015,56241649.5
01/06/2015,56489112.76
01/07/2015,55788647.76
01/08/2015,56234956.94
01/09/2015,57910758.66
01/10/2015,58791002.19
01/11/2015,58238366.77
01/12/2015,59001289.37
01/01/2016,59278595.43
01/02/2016,59177821.82
01/03/2016,59053548.39
01/04/2016,59638178.52
01/05/2016,60091428.68
01/06/2016,60367849.25
01/07/2016,60899086.33
01/08/2016,61355829.47
01/09/2016,61723964.45
01/10/2016,62446134.83
01/11/2016,63339114.56
01/12/2016,65011267.19
01/01/2017,66675555.63
01/02/2017,67609013.4
01/03/2017,68007906.58
01/04/2017,69266052.86
01/05/2017,69536190.46
01/06/2017,70009036.56
01/07/2017,71059172.11
01/08/2017,71357620.63
01/09/2017,71721544.49
01/10/2017,72381382.7
01/11/2017,73329578.82
01/12/2017,74568848.7
01/01/2018,74404797.23
01/02/2018,75602714.47
01/03/2018,76260458.08
01/04/2018,78357620.68
01/05/2018,81217673.83
01/06/2018,83605473.44
01/07/2018,85494957.14
01/08/2018,92693632.54
01/09/2018,98440637.75
01/10/2018,99995999.83
01/11/2018,98396063.83
01/12/2018,96929962.48
01/01/2019,97443691.28
01/02/2019,97297525.75
01/03/2019,98591582.84
01/04/2019,102485950.4
01/05/2019,102967634.3
01/06/2019,104275323.3
01/07/2019,105391069.2
01/08/2019,105791555.3
01/09/2019,107780436.6
01/10/2019,107327758.7
01/11/2019,106823318.3
01/12/2019,108244068.4
01/01/2020,110084217.5
01/02/2020,110766739.7
01/03/2020,111287343.4
01/04/2020,111031382.5
01/05/2020,111864117.8
01/06/2020,112993945.4
01/07/2020,115231225.6
01/08/2020,117858497.5
01/09/2020,119838520.3
01/10/2020,121084840.9
01/11/2020,124002985.5
01/12/2020,124511397.8
01/01/2021,125109052.5
01/02/2021,125084030.7
01/03/2021,126822698.7
01/04/2021,129283059.1
01/05/2021,131377444.6
01/06/2021,135502696.4
01/07/2021,138530734.6
01/08/2021,142047738.5
01/09/2021,145000170.6
01/10/2021,149683676.1
